country,language,year,paper_title
Ethiopia,Amharic,2022,Amharic Language Model for Social Media Analysis
Ethiopia,Amharic,2022,Neural Machine Translation for Amharic-English
Ethiopia,Amharic,2022,Sentiment Analysis in Amharic News
Ethiopia,Amharic,2022,Amharic Speech Recognition Using Deep Learning
Ethiopia,Amharic,2022,Corpus Creation for Amharic NLP
Ethiopia,Amharic,2023,Amharic Named Entity Recognition
Ethiopia,Amharic,2023,Amharic Question Answering System
Ethiopia,Amharic,2023,Low-Resource Amharic Text Summarization
Ethiopia,Amharic,2023,Amharic POS Tagging with Transformers
Ethiopia,Amharic,2023,Amharic Chatbot Development
Ethiopia,Amharic,2023,Amharic Language Model Evaluation
Kenya,Swahili,2022,Swahili Text Classification Using BERT
Kenya,Swahili,2022,Swahili-English Neural Machine Translation
Kenya,Swahili,2022,Swahili Speech-to-Text System
Kenya,Swahili,2023,Swahili Named Entity Recognition
Kenya,Swahili,2023,Swahili Sentiment Analysis in Social Media
Kenya,Swahili,2023,Swahili Language Model Pretraining
Kenya,Swahili,2023,Swahili Question Answering Dataset
Kenya,Swahili,2023,Swahili Text Summarization
Nigeria,Yoruba,2022,Yoruba Neural Machine Translation
Nigeria,Yoruba,2022,Yoruba Speech Recognition
Nigeria,Yoruba,2022,Yoruba POS Tagging with Deep Learning
Nigeria,Yoruba,2022,Yoruba Text Classification
Nigeria,Yoruba,2023,Yoruba Named Entity Recognition
Nigeria,Yoruba,2023,Yoruba Language Model Evaluation
Nigeria,Yoruba,2023,Yoruba Sentiment Analysis
Nigeria,Yoruba,2023,Yoruba Chatbot Development
Nigeria,Yoruba,2023,Yoruba Corpus Creation
Nigeria,Yoruba,2023,Yoruba Text Summarization
South Africa,isiZulu,2023,isiZulu Neural Machine Translation
South Africa,isiZulu,2023,isiZulu Speech Recognition
South Africa,isiZulu,2023,isiZulu Named Entity Recognition
South Africa,isiZulu,2023,isiZulu Language Model Pretraining
